team,win,lose,pointsScored,pointsAllowed,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg2,opp_fg2a,opp_fg3,opp_fg3a,opp_ft,opp_ft,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,tourny_games_won
minnesota,24,10,75.2,69.4,887,2037,678,1427,209,610,573,806,378,963,507,194,227,393,577,857,2142,637,1430,220,712,427,427,415,897,460,192,124,429,687,0
middle-tennessee,31,5,74.9,63.9,1014,2077,786,1455,228,622,441,631,355,918,552,242,100,374,655,791,1882,572,1204,219,678,498,498,286,802,400,171,85,476,602,1
butler,25,9,76.3,68.9,906,1898,645,1184,261,714,522,704,287,804,453,206,96,346,640,818,1837,587,1144,231,693,474,474,293,772,366,171,87,451,653,2
winthrop,26,7,79.2,70.4,891,1957,578,1118,313,839,520,725,316,908,423,216,169,430,605,811,1990,592,1290,219,700,481,481,355,852,331,199,108,462,644,0
cincinnati,30,6,74.3,61.3,969,2116,705,1352,264,764,472,688,437,891,557,261,173,361,566,767,1974,516,1243,251,731,423,423,368,794,405,130,113,475,606,1
kansas-state,21,14,72.1,67.8,869,1883,622,1200,247,683,538,775,330,802,521,271,130,453,630,827,1921,577,1267,250,654,468,468,382,789,459,220,114,525,682,0
ucla,31,5,89.8,75.5,1210,2320,856,1448,354,872,459,622,343,1043,771,212,191,404,583,1000,2371,690,1522,310,849,409,409,413,844,468,226,64,423,615,2
kent-state,22,14,77.0,73.0,986,2302,729,1499,257,803,543,755,539,915,449,230,134,465,685,931,2139,666,1378,265,761,501,501,385,853,483,214,86,502,705,0
dayton,24,8,75.9,66.4,820,1763,562,1092,258,671,530,768,277,820,500,249,128,376,601,731,1772,504,1073,227,699,437,437,312,798,404,139,116,479,633,0
wichita-state,31,5,81.0,62.4,992,2114,682,1345,310,769,622,848,433,1039,586,235,140,406,676,754,2000,513,1225,241,775,497,497,321,833,373,189,120,488,752,1
kentucky,32,6,84.9,71.5,1134,2396,867,1639,267,757,690,980,470,1042,585,229,200,443,716,979,2309,744,1541,235,768,523,523,388,944,431,182,127,544,867,3
northern-kentucky,24,11,76.0,71.6,928,2037,628,1178,300,859,503,740,391,928,486,200,98,468,622,918,2087,691,1388,227,699,444,444,322,843,417,207,146,427,643,0
gonzaga,37,2,82.6,61.5,1149,2280,863,1531,286,749,638,890,378,1209,595,265,183,448,660,875,2400,652,1629,223,771,425,425,421,891,378,209,120,475,770,5
south-dakota-state,18,17,76.7,77.1,881,1938,563,1055,318,883,603,782,316,913,459,180,83,453,584,963,2140,594,1150,369,990,402,402,356,839,510,235,106,400,721,0
northwestern,24,12,71.1,65.5,913,2094,657,1347,256,747,476,637,386,918,540,190,175,383,691,817,2025,584,1327,233,698,490,490,404,871,428,206,139,430,640,1
vanderbilt,19,16,71.1,68.1,815,1896,469,975,346,921,513,660,286,922,450,147,133,430,581,862,2028,636,1359,226,669,435,435,339,870,399,193,104,379,587,0
notre-dame,26,10,77.3,69.3,980,2139,646,1270,334,869,489,611,334,878,566,255,134,341,533,914,2118,664,1379,250,739,416,416,387,891,467,188,146,456,575,1
princeton,23,7,71.6,61.4,772,1716,474,927,298,789,307,416,247,756,426,200,93,298,482,652,1568,457,981,195,587,344,344,238,764,317,134,78,394,458,0
west-virginia,28,9,81.5,66.7,1059,2333,784,1574,275,759,621,907,534,853,607,371,176,455,756,826,1948,576,1240,250,708,565,565,393,881,442,209,142,740,792,2
bucknell,26,9,76.3,67.9,942,1961,656,1207,286,754,497,730,302,901,510,252,134,466,655,860,2017,644,1386,216,631,440,440,347,829,424,246,105,487,673,0
maryland,24,9,73.9,68.1,827,1840,555,1083,272,757,512,732,351,822,472,180,154,426,613,797,1917,585,1289,212,628,440,440,383,777,369,202,118,418,646,1
xavier,24,14,74.6,71.3,981,2148,714,1372,267,776,607,881,451,966,559,228,100,478,708,964,2144,681,1297,283,847,500,500,327,861,530,243,143,454,807,3
florida-state,26,9,82.1,72.1,1036,2146,803,1475,233,671,568,824,409,915,511,259,180,415,684,857,2060,598,1317,259,743,550,550,382,807,424,176,104,494,688,1
florida-gulf-coast,26,8,79.4,69.3,1007,2017,786,1381,221,636,466,664,379,890,527,207,116,421,635,830,1953,598,1196,232,757,464,464,347,738,412,209,98,441,604,0
saint-marys-ca,29,5,72.0,57.5,892,1797,599,1053,293,744,372,499,324,881,563,143,110,365,512,738,1792,589,1296,149,496,329,329,245,658,297,190,82,318,548,1
virginia-commonwealth,26,9,74.7,66.9,945,2050,746,1448,199,602,527,747,386,889,525,263,138,435,728,800,1897,598,1300,202,597,541,541,334,851,371,192,129,515,678,0
arizona,32,5,76.6,65.9,977,2048,733,1423,244,625,635,830,380,978,501,201,119,413,625,893,2121,654,1349,239,772,415,415,339,768,477,175,109,432,729,2
north-dakota,22,10,80.6,73.7,926,1919,698,1334,228,585,498,698,297,849,487,251,93,419,672,824,1858,609,1246,215,612,494,494,310,813,369,201,75,479,654,0
