team,win,lose,pointsScored,pointsAllowed,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg2,opp_fg2a,opp_fg3,opp_fg3a,opp_ft,opp_ft,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
wichita-state,25,7,83.0,71.3,930,1944,638,1186,292,758,504,683,389,902,593,150,126,370,562,781,1862,508,1109,273,753,448,448,266,709,345,188,107,370,643
marshall,24,10,84.3,78.8,992,2115,651,1151,341,964,540,704,274,958,585,233,198,449,586,999,2267,754,1574,245,693,437,437,430,949,503,226,88,485,635
florida,20,12,76.1,69.4,841,1937,549,1159,292,778,460,640,345,779,415,219,151,315,552,787,1835,567,1219,220,616,428,428,346,848,367,141,97,442,574
st-bonaventure,26,7,77.5,70.6,867,1910,615,1268,252,642,572,760,338,831,462,232,115,373,655,780,1852,524,1055,256,797,514,514,344,805,444,170,129,479,642
texas-tech,24,9,75.2,64.7,863,1859,631,1225,232,634,525,749,361,821,447,245,134,412,599,718,1780,491,1088,227,692,472,472,324,724,331,194,121,499,688
stephen-f-austin,28,6,81.1,68.1,982,2012,745,1375,237,637,558,791,395,822,490,347,103,527,740,743,1738,501,1067,242,671,588,588,316,763,435,255,120,678,695
arkansas,23,11,81.1,75.5,985,2063,720,1400,265,663,522,770,346,837,492,212,157,374,686,843,1969,553,1151,290,818,592,592,386,833,462,162,125,476,660
butler,20,13,79.1,72.8,964,2041,694,1282,270,759,413,536,303,822,462,222,97,369,602,831,1846,572,1153,259,693,481,481,267,814,419,170,111,467,557
purdue,28,6,81.1,65.6,958,1928,632,1152,326,776,517,696,287,904,568,198,171,363,528,834,2033,598,1333,236,700,328,328,355,753,409,177,81,412,632
cal-state-fullerton,20,11,73.2,70.0,786,1671,623,1189,163,482,535,729,274,815,396,198,101,438,553,745,1802,534,1189,211,613,470,470,311,719,386,175,110,404,609
kansas,27,7,81.5,70.9,1024,2058,679,1201,345,857,378,539,325,872,578,225,142,397,519,886,2099,623,1294,263,805,375,375,405,790,431,191,121,442,571
pennsylvania,24,8,76.4,68.7,871,1893,591,1091,280,802,424,637,278,929,492,190,89,379,553,789,1909,604,1276,185,633,435,435,269,882,312,166,92,398,595
seton-hall,21,11,79.0,73.3,914,1950,681,1310,233,640,467,674,385,838,506,201,112,410,567,847,1940,605,1215,242,725,410,410,326,757,410,190,108,410,618
north-carolina-state,21,11,81.2,74.5,937,1993,685,1316,252,677,473,675,390,752,517,240,122,390,579,880,1894,688,1286,192,608,431,431,353,770,445,199,129,480,576
clemson,23,9,73.3,65.8,809,1786,543,1060,266,726,461,609,286,850,422,182,155,387,512,757,1845,515,1163,242,682,350,350,307,762,362,188,117,383,563
new-mexico-state,28,5,75.9,63.8,939,2042,690,1294,249,748,377,586,419,949,467,186,101,418,591,730,1860,514,1159,216,701,428,428,279,794,307,160,78,455,585
auburn,25,7,83.4,73.3,868,1977,556,1125,312,852,620,789,388,834,462,238,173,393,635,786,1849,528,1119,258,730,516,516,328,790,410,197,105,488,660
college-of-charleston,26,7,75.1,68.8,852,1854,598,1155,254,699,520,685,280,809,377,171,119,318,540,803,1848,569,1178,234,670,429,429,311,802,400,130,106,391,599
texas-christian,21,11,83.0,75.9,960,1925,689,1248,271,677,465,657,357,809,601,211,115,406,537,873,1900,614,1217,259,683,425,425,279,685,503,200,135,403,594
syracuse,21,13,67.3,64.3,771,1845,571,1224,200,621,547,745,408,862,372,244,185,425,554,743,1876,470,1046,273,830,427,427,354,765,553,213,108,435,625
michigan-state,29,4,81.0,64.8,943,1872,666,1201,277,671,509,678,365,983,638,135,243,435,596,736,2011,496,1291,240,720,426,426,358,642,403,199,81,329,655
bucknell,25,9,81.1,72.9,942,1995,673,1211,269,784,606,845,317,936,492,191,151,429,632,880,2080,661,1420,219,660,498,498,350,851,427,227,110,428,720
rhode-island,25,7,76.2,67.9,899,1957,681,1334,218,623,422,597,361,739,489,240,111,343,609,753,1671,585,1163,168,508,499,499,278,802,365,178,99,508,558
oklahoma,18,13,85.2,81.6,925,1993,629,1178,296,815,494,660,321,854,467,204,146,414,533,934,2100,652,1318,282,782,381,381,370,827,452,211,135,409,557
duke,26,7,84.7,69.6,1008,2044,734,1319,274,725,505,713,447,932,578,248,177,416,515,851,2121,601,1342,250,779,345,345,385,689,474,192,89,396,603
iona,20,13,79.8,76.2,931,2016,612,1194,319,822,452,612,282,835,526,224,101,385,571,933,2035,679,1320,254,715,393,393,366,875,481,167,92,452,565
virginia-tech,21,11,79.7,71.8,901,1811,621,1084,280,727,469,661,236,820,528,184,73,381,502,814,1915,530,1091,284,824,384,384,337,767,441,171,121,416,554
